,normal,knn,svd,matrix_factorization,deep netural network,mean
normal,0.0,1.1473483385879026,1.1934098946226457,1.4458274271875395,1.2606026130931536,1.0094376546982482
knn,1.1473483385879026,0.0,0.4056894757565257,1.200784918413075,0.9488690848631621,0.740538363524133
svd,1.1934098946226457,0.4056894757565257,0.0,1.2265207841768067,0.9922660918153853,0.7635772492742727
matrix_factorization,1.4458274271875395,1.200784918413075,1.2265207841768067,0.0,1.0855451783186567,0.9917356616192154
deep netural network,1.2606026130931536,0.9488690848631621,0.9922660918153853,1.0855451783186567,0.0,0.8574565936180715
